epoch,D_loss,G_loss,W_rmse,W_mae,W_r2,global_step
1,7.716845363378525,-13.88760256086077,0.18046844005584717,0.1801677644252777,-289.08111572265625,176
2,5.720246236432683,-30.22876156398228,0.1797441989183426,0.17943324148654938,-286.7575378417969,352
3,5.476668200709603,-37.47402654375349,0.17894557118415833,0.17862890660762787,-284.2061462402344,528
4,5.159488176757639,-43.2715085710798,0.1779020130634308,0.17756903171539307,-280.8893127441406,704
5,4.642738454721191,-48.294691576276506,0.17706221342086792,0.17670904099941254,-278.2342834472656,880
6,4.362395159222863,-48.44189790998186,0.1764434278011322,0.1760612279176712,-276.28594970703125,1056
7,4.1042453199625015,-53.51740526471819,0.17574991285800934,0.17533773183822632,-274.1105041503906,1232
8,3.33385590125214,-55.65161307198661,0.17506052553653717,0.17460741102695465,-271.95648193359375,1408
9,2.1901239414106715,-54.765081242152625,0.1740960329771042,0.173584446310997,-268.9570617675781,1584
10,0.8765338056466796,-59.97906308855329,0.17220506072044373,0.17165973782539368,-263.1245422363281,1760
11,-0.20871254327622327,-64.00996475219726,0.16944237053394318,0.16880156099796295,-254.71778869628906,1936
12,-1.2881500531326642,-74.973365347726,0.1652311384677887,0.16448979079723358,-242.16482543945312,2112
13,-2.4240833927284586,-93.79707336425781,0.16001036763191223,0.15913724899291992,-227.04112243652344,2288
14,-3.875229842283509,-113.71622445242745,0.1537943184375763,0.15275762975215912,-209.66748046875,2464
15,-5.560512769967318,-139.53468082972935,0.1470467746257782,0.14586248993873596,-191.58743286132812,2640
16,-7.518072734840891,-166.87362016950334,0.1397792249917984,0.13842742145061493,-173.02120971679688,2816
17,-9.081810478121042,-192.426025390625,0.132679745554924,0.13114459812641144,-155.7928009033203,2992
18,-11.077886005694216,-219.330814906529,0.12555015087127686,0.12387093901634216,-139.39491271972656,3168
19,-12.118496512824839,-238.32579389299664,0.11885037273168564,0.11702872067689896,-124.81082916259766,3344
20,-14.86440833285451,-273.96422162737167,0.11225331574678421,0.11025280505418777,-111.23163604736328,3520
21,-15.230913914401423,-284.98160879952565,0.1065782755613327,0.10439987480640411,-100.17059326171875,3696
22,-17.736987458033994,-329.5121176583426,0.10085560381412506,0.09852299094200134,-89.59765625,3872
23,-19.007487508045003,-355.2198913574219,0.09539191424846649,0.09286737442016602,-80.04757690429688,4048
24,-19.026478471403774,-379.87121233258927,0.0906016081571579,0.08789640665054321,-72.11201477050781,4224
25,-20.408125578002497,-390.9345999581473,0.08628125488758087,0.08339687436819077,-65.3055419921875,4400
26,-21.104560475119136,-396.11622358049664,0.08258640766143799,0.07951295375823975,-59.748291015625,4576
27,-21.164766200564124,-428.5596409388951,0.07904588431119919,0.07580601423978806,-54.65131378173828,4752
28,-21.89526750689203,-450.08367396763396,0.07584018260240555,0.0724514052271843,-50.22896957397461,4928
29,-23.413337596099485,-478.2426783970424,0.07292455434799194,0.06937424838542938,-46.365760803222656,5104
30,-23.220748835666612,-486.4090384347098,0.07030809670686722,0.06657817214727402,-43.02785873413086,5280
31,-23.56860485469753,-479.6692905970982,0.06811172515153885,0.0642421767115593,-40.32003402709961,5456
32,-24.189029463990167,-519.718039376395,0.06602093577384949,0.06204603612422943,-37.822208404541016,5632
33,-24.949914273213256,-511.7496791294643,0.06418993324041367,0.060132890939712524,-35.698707580566406,5808
34,-24.964600209146738,-519.2217834472656,0.06263604760169983,0.05850405618548393,-33.94343948364258,5984
35,-25.088698546994816,-519.014803641183,0.06131682172417641,0.05711741000413895,-32.486995697021484,6160
36,-25.71727565675974,-531.4557721819197,0.060152243822813034,0.05589458718895912,-31.22705078125,6336
37,-26.643479591743514,-546.999462890625,0.059134840965270996,0.054819971323013306,-30.146108627319336,6512
38,-27.427881851792336,-548.9971452985491,0.05828060209751129,0.0539184994995594,-29.252758026123047,6688
39,-27.941105013543908,-547.7473754882812,0.05759217590093613,0.05319225415587425,-28.54227066040039,6864
40,-27.91765654493462,-549.3575247628348,0.0570039302110672,0.052572835236787796,-27.941865921020508,7040
41,-28.54672105881301,-562.7742544991629,0.056527502834796906,0.052067823708057404,-27.460107803344727,7216
42,-29.14082864739678,-563.0590802873884,0.05615335702896118,0.051672495901584625,-27.08460807800293,7392
43,-29.166193433105946,-553.458069719587,0.055853765457868576,0.051356591284275055,-26.78573226928711,7568
44,-29.981866025789216,-553.5305855887277,0.05563151836395264,0.051123619079589844,-26.565048217773438,7744
45,-29.97902564094825,-557.7160278320313,0.05547007918357849,0.05095445737242699,-26.405296325683594,7920
46,-30.50396006554365,-553.4121573311942,0.05536337569355965,0.050843387842178345,-26.29996109008789,8096
47,-30.493236402218994,-568.0970633370536,0.05529536306858063,0.050771892070770264,-26.232929229736328,8272
48,-30.802453163672578,-546.9040134974888,0.05525851622223854,0.05073319748044014,-26.19664764404297,8448
49,-30.843362881378695,-554.2279366629464,0.055242713540792465,0.05071638897061348,-26.181095123291016,8624
50,-31.082451554184612,-559.35625,0.05523865669965744,0.05071211978793144,-26.17710304260254,8800
