epoch,D_loss,G_loss,W_rmse,W_mae,W_r2
1,6.600131715354273,-24.11933857141915,0.16301628947257996,0.1620190590620041,-73.56236267089844
2,3.9718454611503473,-43.20201511706336,0.16029752790927887,0.15926888585090637,-71.09601593017578
3,1.9706165358171626,-45.54915227081816,0.15739500522613525,0.15633584558963776,-68.50875854492188
4,0.7012212448200937,-54.599077147144385,0.14747603237628937,0.14628955721855164,-60.02398681640625
5,-3.419847190582146,-100.7132921768447,0.11599061638116837,0.1140744760632515,-36.74882125854492
6,-7.557739695856126,-199.81318209373345,0.07710164785385132,0.07192189246416092,-15.679576873779297
7,-6.617318545357656,-297.78932189941406,0.04814499616622925,0.039683420211076736,-5.503691673278809
8,-2.7092134546425384,-309.69726479740467,0.032592855393886566,0.025277888402342796,-1.9805915355682373
9,-0.21190370624348268,-286.03022078174655,0.02552398107945919,0.020139917731285095,-0.8279086351394653
10,0.15001041520450076,-205.30636689784163,0.022819843143224716,0.018129045143723488,-0.4611102342605591
11,0.046117395465656866,-188.29594879150392,0.020559856668114662,0.016384437680244446,-0.18603575229644775
12,-0.08666347502651861,-191.97968315512446,0.018395207822322845,0.014553413726389408,0.05056107044219971
13,0.09146552889023797,-188.93725498005495,0.017497437074780464,0.013699076138436794,0.14097368717193604
14,0.12970213723384727,-138.41205591751358,0.017097126692533493,0.01341264694929123,0.17983001470565796
15,0.08855078835356034,-148.36347935563427,0.016893714666366577,0.013225222937762737,0.1992296576499939
16,0.09040224167628813,-145.69624587236825,0.016731377691030502,0.013152562081813812,0.21454548835754395
17,0.1241725336570861,-186.54421422926046,0.01708352006971836,0.013456225395202637,0.18113481998443604
18,0.09489820137998815,-153.064292700816,0.016761912032961845,0.01322611328214407,0.21167588233947754
19,0.12616621359425076,-152.68532037250066,0.016727669164538383,0.0132225276902318,0.214893639087677
20,0.09668959737834285,-130.41940139511885,0.016994556412100792,0.013485793955624104,0.1896412968635559
21,0.04330246716232623,-131.03122941356594,0.016540147364139557,0.013053953647613525,0.23239737749099731
22,0.1038365707117117,-138.86088999085507,0.016338052228093147,0.012948503717780113,0.2510406970977783
23,0.053018063988726015,-147.7951474464546,0.016123022884130478,0.012651591561734676,0.2706254720687866
24,0.03677596043542785,-155.22491341283765,0.01587345078587532,0.0124623728916049,0.2930310368537903
25,0.18181039006212504,-158.7718969830012,0.015953918918967247,0.012578355148434639,0.2858451008796692
26,0.03521924477259992,-158.37635849774895,0.01590893603861332,0.012445884756743908,0.28986650705337524
27,0.025583402566232923,-154.97640391204317,0.015875937417149544,0.012332274578511715,0.29280948638916016
28,0.05791350933959929,-153.09712896831965,0.01586873270571232,0.01233005989342928,0.2934512495994568
29,0.022273775294296822,-152.0362096754171,0.015905041247606277,0.012259669601917267,0.2902142405509949
30,0.01901716583140068,-148.75659696934588,0.01589772291481495,0.012220526114106178,0.2908673882484436
