epoch,D_loss,G_loss,W_rmse,W_mae,W_r2
1,7.315690726847262,-17.19509354958663,0.1644943505525589,0.1634621024131775,-74.92060089111328
2,5.178978509194142,-39.00822045352008,0.16322724521160126,0.16220739483833313,-73.7554702758789
3,3.8209728501938485,-48.10869008141595,0.16222836077213287,0.16119910776615143,-72.84331512451172
4,2.1995172903344438,-47.43478723474451,0.16078117489814758,0.15973733365535736,-71.53173828125
5,0.4088536851309441,-54.136529355435755,0.1564745008945465,0.1553945392370224,-67.69810485839844
6,-0.953435201097179,-64.08182987006936,0.14735525846481323,0.14614808559417725,-59.924072265625
7,-3.6088929256877385,-106.72518719853582,0.13124027848243713,0.1297743171453476,-47.327232360839844
8,-7.276239222771412,-168.83295791213578,0.11127404868602753,0.10913795232772827,-33.741249084472656
9,-9.37293127098599,-239.27534814783044,0.09221988171339035,0.08888919651508331,-22.86199951171875
10,-10.164145820849651,-302.4883657919394,0.07494194060564041,0.0698704794049263,-14.758234024047852
11,-9.563089676805445,-359.4224129754144,0.05991443991661072,0.05310680344700813,-9.072114944458008
12,-6.690037953692514,-383.67384678608664,0.04857597500085831,0.04091667756438255,-5.6206512451171875
13,-4.623241331126239,-398.74911942353117,0.03977802023291588,0.03200430050492287,-3.4396018981933594
14,-2.2274450909447028,-395.819627504091,0.034275542944669724,0.02678714692592621,-2.296297311782837
15,-0.6407140136973278,-372.90863150519294,0.030567442998290062,0.02385096624493599,-1.621656894683838
16,0.05560440449295817,-417.239951159503,0.028224732726812363,0.022297263145446777,-1.2352049350738525
17,0.18610696776493177,-340.404694531415,0.02649521827697754,0.02102232724428177,-0.9696663618087769
18,0.1927166796616606,-294.74785150064,0.02531939558684826,0.020101461559534073,-0.7987232208251953
19,0.17767812190829096,-258.73691775347737,0.024263568222522736,0.01935914345085621,-0.6518362760543823
20,0.14302143313594767,-233.41919481432114,0.023515187203884125,0.01876331865787506,-0.5515099763870239
21,0.03988293739589485,-221.51931979205156,0.02262185327708721,0.017970627173781395,-0.4358663558959961
22,0.028458648839512386,-217.35258731326542,0.02180190570652485,0.017212335020303726,-0.33366429805755615
23,0.01603994649407026,-225.43250810777818,0.021069591864943504,0.016490371897816658,-0.24557507038116455
24,0.17864084012202314,-270.2795307056324,0.020751507952809334,0.01615971326828003,-0.2082505226135254
25,0.13544445686243675,-197.07296979749526,0.020461292937397957,0.015879487618803978,-0.17469143867492676
26,0.13908638326904257,-189.19425912805505,0.02027476392686367,0.015696631744503975,-0.15337157249450684
27,0.11095641085223572,-185.65465844644083,0.020175589248538017,0.015598191879689693,-0.14211583137512207
28,0.2056872835634528,-296.78190870542784,0.020166125148534775,0.015566599555313587,-0.14104437828063965
29,0.15228465259880633,-239.26140120222763,0.019967462867498398,0.015478326007723808,-0.11867368221282959
30,0.19198953068336924,-223.7753574268238,0.019832396879792213,0.015344703570008278,-0.10359072685241699
