epoch,D_loss,G_loss,W_rmse,W_mae,W_r2,global_step
1,7.813782084577437,-16.83671474456787,0.1801305115222931,0.1798349916934967,-287.99578857421875,263
2,5.925017066781511,-24.24647595332219,0.17926032841205597,0.1789541393518448,-285.2103271484375,526
3,5.553939411395403,-27.8931454878587,0.17851674556732178,0.1782080978155136,-282.8408203125,789
4,5.43652788677143,-32.87875197483943,0.1774979531764984,0.17716313898563385,-279.6103210449219,1052
5,5.4636227023918815,-33.04872831931481,0.17703653872013092,0.1766621321439743,-278.15325927734375,1315
6,5.266152381896973,-38.29754976125864,0.17644003033638,0.1760387271642685,-276.2752685546875,1578
7,5.125796678854939,-40.95344154651348,0.17598861455917358,0.175558939576149,-274.85833740234375,1841
8,4.841431822613618,-44.805262125455414,0.175520658493042,0.17506858706474304,-273.3932189941406,2104
9,4.639521986812693,-45.217081803541916,0.17500974237918854,0.17453429102897644,-271.798095703125,2367
10,4.217102892951821,-45.29376404102032,0.17450514435768127,0.1740022897720337,-270.2272644042969,2630
11,2.432498687573712,-43.28763162172758,0.173362135887146,0.1728287786245346,-266.6858215332031,2893
12,-0.009287044802546048,-49.57276109548715,0.16902987658977509,0.16839413344860077,-253.4742431640625,3156
13,-1.5351193005594463,-73.41173208676852,0.15979520976543427,0.1589900106191635,-226.42825317382812,3419
14,-3.488230160660617,-98.72636428246132,0.14739158749580383,0.1463744342327118,-192.49166870117188,3682
15,-5.574082597126979,-128.93484629117526,0.1335887759923935,0.13242916762828827,-157.9486541748047,3945
16,-7.801346258065546,-173.67496519822342,0.1193009540438652,0.11794652789831161,-125.7665786743164,4208
17,-9.689766340156018,-212.2131095299354,0.10588211566209793,0.10431963205337524,-98.85323333740234,4471
18,-10.044158442165461,-251.28723115187424,0.09427014738321304,0.09247737377882004,-78.15261840820312,4734
19,-10.720456063294138,-273.35237620427057,0.08352524042129517,0.08147475123405457,-61.13729476928711,4997
20,-10.849099303832979,-306.0393565251277,0.07378001511096954,0.07141751796007156,-47.48354721069336,5260
21,-9.926893412160329,-320.59994594867413,0.06560296565294266,0.06290978193283081,-37.33220672607422,5523
22,-9.497573438932687,-341.0760283836952,0.058069515973329544,0.05504527688026428,-29.03400993347168,5786
23,-9.000532159787166,-368.02202664888824,0.051369503140449524,0.048007916659116745,-22.503236770629883,6049
24,-7.105396068821388,-384.37331302349384,0.0456513911485672,0.04187186434864998,-17.562007904052734,6312
25,-5.020402865718073,-335.3012139247014,0.04136894270777702,0.03731224313378334,-14.242834091186523,6575
26,-5.208916009152343,-385.2025592510517,0.03700455650687218,0.03258597105741501,-11.196276664733887,6838
27,-4.141370863062347,-355.24611751849835,0.03361363336443901,0.028979569673538208,-9.063470840454102,7101
28,-2.2641692537771885,-289.0867975675143,0.031402941793203354,0.026745630428195,-7.783297538757324,7364
29,-3.4596660746820977,-397.46449573223407,0.028755363076925278,0.024134501814842224,-6.364692687988281,7627
30,-3.789505464949082,-355.4403765751765,0.026629306375980377,0.022024942561984062,-5.315920352935791,7890
31,-3.176809169946968,-358.6050394498385,0.02503456361591816,0.020465070381760597,-4.582091808319092,8153
32,-3.3854981660842896,-364.33735715425934,0.023616278544068336,0.019225582480430603,-3.967522144317627,8416
33,-2.9536280595757662,-326.0376806992751,0.02256137691438198,0.018360918387770653,-3.533651828765869,8679
34,-3.7487037471945297,-377.43550755427435,0.021530941128730774,0.017505116760730743,-3.128981590270996,8942
35,-4.144321095580837,-354.147466806265,0.02075662836432457,0.01691454090178013,-2.8373425006866455,9205
36,-4.172799235287728,-350.73959614680365,0.02019030600786209,0.01648453250527382,-2.6308035850524902,9468
37,-4.278331047681801,-349.15362372765173,0.019741421565413475,0.016148684546351433,-2.4711532592773438,9731
38,-4.7831130947903535,-344.88331750723034,0.019397279247641563,0.015895556658506393,-2.3511857986450195,9994
39,-4.702759141704429,-329.9938650864821,0.019117258489131927,0.015681808814406395,-2.255128860473633,10257
40,-5.161350999268289,-359.63292107215295,0.01887517049908638,0.01550158578902483,-2.1732094287872314,10520
41,-5.823609474267343,-367.2881188025841,0.018704522401094437,0.01537942886352539,-2.116091012954712,10783
42,-5.708880356736056,-367.15824538010816,0.01857640966773033,0.015298033133149147,-2.0735514163970947,11046
43,-6.174141425596897,-355.06270892803485,0.018486490473151207,0.015234955586493015,-2.043868064880371,11309
44,-6.373146480707161,-385.39473137488733,0.018412446603178978,0.015180439688265324,-2.0195343494415283,11572
45,-6.512722142975593,-358.7938807560847,0.01836506836116314,0.015146752819418907,-2.004014492034912,11835
46,-6.618939530033575,-375.51500291090747,0.01832929253578186,0.015120410360395908,-1.9923222064971924,12098
47,-6.7515487185902465,-375.00456765981824,0.018308810889720917,0.01510564424097538,-1.9856383800506592,12361
48,-6.868156089982152,-373.9939252413236,0.018297448754310608,0.015096552670001984,-1.981933832168579,12624
49,-6.896185008745229,-379.33843407264123,0.018292434513568878,0.015092918649315834,-1.980299949645996,12887
50,-6.9923541464279815,-380.0519104003906,0.018291126936674118,0.0150918522849679,-1.9798731803894043,13150
