epoch,D_loss,G_loss,W_rmse,W_mae,W_r2
1,7.585225530572839,-15.793143790047449,0.16492079198360443,0.1638772040605545,-75.31475067138672
2,6.674529384922337,-31.351065695822776,0.16364005208015442,0.16262298822402954,-74.1340560913086
3,4.658381107691172,-44.02338450663799,0.1621973067522049,0.16119767725467682,-72.81504821777344
4,3.93358580271403,-48.67642260027361,0.16115416586399078,0.16013020277023315,-71.86864471435547
5,3.651289074270575,-45.45791938713005,0.16027261316776276,0.15922480821609497,-71.07362365722656
6,2.4655771878388553,-44.27423539032807,0.15924762189388275,0.15818971395492554,-70.15469360351562
7,1.0335610358564704,-47.13492151208826,0.15749768912792206,0.15642964839935303,-68.5994873046875
8,0.4265647648691057,-53.872771048331046,0.1543569564819336,0.15322506427764893,-65.85132598876953
9,-0.6714188665957064,-62.225556932054126,0.1485944539308548,0.14732849597930908,-60.95307922363281
10,-2.343332561823699,-86.2382230329084,0.1384890079498291,0.13700538873672485,-52.81313705444336
11,-4.622897181425008,-121.3361134572072,0.12445788830518723,0.1225069984793663,-42.461280822753906
12,-6.799718581878387,-164.65026965442004,0.1090804859995842,0.10636898130178452,-32.38502883911133
13,-8.18337378630767,-215.71903634286141,0.0938330739736557,0.08989075571298599,-23.704132080078125
14,-9.233168335648271,-268.0658541842624,0.07878308743238449,0.07320192456245422,-16.415008544921875
15,-8.596579882475707,-313.2612016007707,0.06545504927635193,0.0583505816757679,-11.021093368530273
16,-6.950600400701299,-342.1685400610572,0.054241374135017395,0.04604320600628853,-7.255036354064941
17,-4.577775097108102,-345.42442486737224,0.04583489149808884,0.03740064054727554,-4.894542694091797
18,-2.816856009466154,-342.9495167775197,0.03955671936273575,0.03151670843362808,-3.3903403282165527
19,-1.314581029049985,-318.8757130390889,0.035239096730947495,0.027883276343345642,-2.4842331409454346
20,-0.321074008673161,-305.69677981814823,0.032274484634399414,0.025520481169223785,-1.9226467609405518
21,0.18302260567476084,-325.91654954515064,0.030324777588248253,0.023997647687792778,-1.5801973342895508
22,0.27936969630353087,-257.10781475445174,0.028977401554584503,0.02308143675327301,-1.3560068607330322
23,0.2885657019980319,-213.12768101047826,0.02799760177731514,0.022410811856389046,-1.1993751525878906
24,0.30187832423158595,-236.315655682538,0.026996329426765442,0.021699052304029465,-1.0448765754699707
25,0.3142023768510904,-224.1839551496076,0.026314323768019676,0.021170319989323616,-0.9428625106811523
26,0.357188738949664,-214.56400649612016,0.025879833847284317,0.020817551761865616,-0.8792328834533691
27,0.3630592253831056,-160.52996358785543,0.02551421895623207,0.020479407161474228,-0.8265107870101929
28,0.26581901123931817,-173.3339718655423,0.025021573528647423,0.02006162330508232,-0.7566566467285156
29,0.2593317956806303,-152.3254904532218,0.024673016741871834,0.019797177985310555,-0.7080562114715576
30,0.16098166773985098,-150.88596543320665,0.024328505620360374,0.01951049640774727,-0.6606899499893188
