epoch,D_loss,G_loss,W_rmse,W_mae,W_r2,global_step
1,8.561046974225478,-9.575957270229564,0.18102902173995972,0.18071936070919037,-290.8860778808594,88
2,6.551365706053647,-17.787993655485266,0.18070915341377258,0.1803988665342331,-289.8554382324219,176
3,5.867848753929138,-23.344894857967603,0.18031440675258636,0.18000474572181702,-288.5861511230469,264
4,5.681947588920593,-25.735500560087317,0.1799638569355011,0.17965194582939148,-287.4613037109375,352
5,5.528257478367198,-29.347279829137467,0.17959782481193542,0.1792815923690796,-286.2890625,440
6,5.351663275198503,-31.815352944766772,0.17922605574131012,0.17890003323554993,-285.10089111328125,528
7,5.123410360379652,-36.87834279677447,0.17879511415958405,0.17845860123634338,-283.7267150878906,616
8,5.035484265197407,-39.38338537777172,0.17837929725646973,0.1780311018228531,-282.40386962890625,704
9,4.906067132949829,-45.452052621280444,0.17795369029045105,0.17759984731674194,-281.0531311035156,792
10,4.630661086602644,-47.52171168607824,0.17756737768650055,0.17720137536525726,-279.82989501953125,880
11,4.46909869259054,-50.30852306590361,0.17716816067695618,0.17679572105407715,-278.56854248046875,968
12,4.365178151564165,-55.45284091725069,0.17679893970489502,0.17641855776309967,-277.40447998046875,1056
13,4.180796460671858,-57.95372413186466,0.17643240094184875,0.17603901028633118,-276.2513122558594,1144
14,3.7805416638200935,-63.421027688419116,0.17604637145996094,0.17564208805561066,-275.0393981933594,1232
15,3.533151827075265,-69.93200055290671,0.17567521333694458,0.17525702714920044,-273.8766784667969,1320
16,3.5243160399523648,-73.92753690831802,0.17540641129016876,0.17497821152210236,-273.0361633300781,1408
17,3.3680512471632524,-78.61903605741612,0.17512337863445282,0.1746816784143448,-272.1524658203125,1496
18,2.98549083146182,-83.85812377929688,0.17485791444778442,0.17440146207809448,-271.3249816894531,1584
19,2.5822122638875786,-86.68822165096508,0.17458701133728027,0.17411793768405914,-270.4818420410156,1672
20,2.6568092812191355,-93.56103650261375,0.17432153224945068,0.17383906245231628,-269.6568298339844,1760
21,2.1430384787646206,-97.40766323313994,0.1740574985742569,0.17356225848197937,-268.83758544921875,1848
22,2.052821013060483,-104.1569164500517,0.17379868030548096,0.17328211665153503,-268.03570556640625,1936
23,1.3285742835565046,-109.33002696317784,0.1735474020242691,0.17301331460475922,-267.25830078125,2024
24,1.2614573998884722,-110.27654625387753,0.1733110398054123,0.17276060581207275,-266.528076171875,2112
25,0.8922345204786821,-119.33955114028034,0.17310409247875214,0.17253762483596802,-265.8895568847656,2200
26,0.49723367257551715,-121.4076259837431,0.17290888726711273,0.17233000695705414,-265.2879638671875,2288
27,0.1547779386693781,-128.7509276446174,0.17273353040218353,0.172140970826149,-264.7481384277344,2376
28,-0.20088943568142978,-129.9001855289235,0.1725205034017563,0.17190948128700256,-264.0930480957031,2464
29,-0.714255457574671,-135.4931250179515,0.1723615527153015,0.17173774540424347,-263.6047668457031,2552
30,-1.063876834782687,-142.9285170611213,0.17220506072044373,0.17156916856765747,-263.1245422363281,2640
31,-1.5464258193969727,-138.34002461152917,0.17207500338554382,0.17142853140830994,-262.7257385253906,2728
32,-1.7603040554306724,-145.97497199563418,0.1719520390033722,0.1712949275970459,-262.34893798828125,2816
33,-2.0240138985893945,-149.94361428653494,0.17184948921203613,0.17118395864963531,-262.0349426269531,2904
34,-2.501710658723658,-150.63009374281938,0.17175887525081635,0.17108458280563354,-261.7575988769531,2992
35,-2.979708108035001,-151.38469561408547,0.17167402803897858,0.17098942399024963,-261.4980773925781,3080
36,-3.4186049645597283,-158.99397726619944,0.17160405218601227,0.17091114819049835,-261.28411865234375,3168
37,-3.8582749637690457,-161.17104563993567,0.17154011130332947,0.17084111273288727,-261.0887145996094,3256
38,-4.010746246034449,-162.5009469424977,0.17149026691913605,0.17078515887260437,-260.9364318847656,3344
39,-4.410454945130781,-165.50192530014937,0.17144477367401123,0.17073467373847961,-260.7974548339844,3432
40,-4.695798402482813,-158.81884855382583,0.171408548951149,0.17069528996944427,-260.68682861328125,3520
41,-4.987275638363578,-167.22540013930376,0.1713731288909912,0.17065639793872833,-260.5787048339844,3608
42,-5.075746498324654,-167.9163522159352,0.1713433563709259,0.170623779296875,-260.4878234863281,3696
43,-5.36002516746521,-167.15795988195083,0.1713239550590515,0.1706026941537857,-260.4285888671875,3784
44,-5.704857441512021,-171.76610430549172,0.17130912840366364,0.1705862283706665,-260.38336181640625,3872
45,-5.701009755784815,-170.4733393052045,0.17130036652088165,0.1705763041973114,-260.3565979003906,3960
46,-5.816783504052595,-169.7650047751034,0.17129361629486084,0.17056871950626373,-260.3360290527344,4048
47,-5.867791717702692,-170.79466068043428,0.17128905653953552,0.17056351900100708,-260.32208251953125,4136
48,-6.025395902720365,-166.55072470272287,0.17128680646419525,0.17056095600128174,-260.3152160644531,4224
49,-5.959651513533159,-169.12120953728171,0.1712857037782669,0.17055973410606384,-260.3118591308594,4312
50,-5.912417314269326,-169.15535152659697,0.171285480260849,0.17055948078632355,-260.3111877441406,4400
