epoch,D_loss,G_loss,W_rmse,W_mae,W_r2
1,7.440407920528102,-15.905703900311444,0.16418130695819855,0.163152277469635,-74.63190460205078
2,6.19590909545486,-36.8769538260795,0.16235972940921783,0.16135351359844208,-72.96296691894531
3,4.203064217438569,-61.26856773995065,0.16086919605731964,0.15984086692333221,-71.61117553710938
4,3.139960580903131,-74.09611012226827,0.15897394716739655,0.15788891911506653,-69.91034698486328
5,2.71906738990062,-75.83588640367662,0.15735438466072083,0.15618965029716492,-68.47289276123047
6,1.4988808290378468,-76.35542517997123,0.1549181193113327,0.1536850780248642,-66.33829498291016
7,-2.3133988973256705,-124.84117002744932,0.14456969499588013,0.14310915768146515,-57.6424560546875
8,-9.545825777827082,-231.92813555743243,0.12118440121412277,0.11899242550134659,-40.20511245727539
9,-17.805088553557525,-386.32786089922934,0.09312950819730759,0.08906187862157822,-23.335052490234375
10,-19.27841927811906,-525.9551286027238,0.06898801773786545,0.06183839961886406,-12.353803634643555
11,-13.709672443286793,-612.242640809755,0.05155715346336365,0.04208808019757271,-6.458225727081299
12,-5.844763170384072,-603.4630169842694,0.0417969673871994,0.032784633338451385,-3.901705265045166
13,-0.5552152746432536,-508.2485059583509,0.03682206571102142,0.028901195153594017,-2.804293155670166
14,0.8165601398493793,-498.2797353383657,0.033500757068395615,0.0263934638351202,-2.1489579677581787
15,4.444918992712691,-373.113708166174,0.03258652985095978,0.025711555033922195,-1.9794347286224365
16,1.1026111077617955,-322.82656241752005,0.03081258200109005,0.02428627572953701,-1.6638751029968262
17,0.41328754972767184,-373.01895850929054,0.02824334055185318,0.02230631373822689,-1.2381529808044434
18,0.08084023159903449,-399.9007749815245,0.02557845041155815,0.02019132860004902,-0.8357187509536743
19,0.046284151721645045,-397.6615314380543,0.023238252848386765,0.01823287457227707,-0.5151811838150024
20,0.30895571579804293,-392.3787780761719,0.021870816126465797,0.01701066829264164,-0.34210848808288574
21,0.40156748906986134,-383.4314053097287,0.021102799102663994,0.016363758593797684,-0.2495044469833374
22,0.34676535314804796,-358.5104726430532,0.020727980881929398,0.01609208807349205,-0.2055124044418335
23,0.3189826349954347,-334.2314673346442,0.0204295814037323,0.015874439850449562,-0.17105317115783691
24,0.298503976174303,-304.2133968868771,0.02013113535940647,0.015714110806584358,-0.13708841800689697
25,0.2737982092676936,-290.769825620909,0.019835015758872032,0.015507766976952553,-0.1038823127746582
26,0.1698213236557471,-255.4154831345017,0.019563617184758186,0.015296511352062225,-0.07388043403625488
27,0.08371461786933847,-249.04423720901076,0.019427254796028137,0.015201084315776825,-0.058962464332580566
28,0.07082175205688218,-252.60451008564718,0.019257323816418648,0.015067811124026775,-0.04051780700683594
29,0.04291130904410336,-255.170244124129,0.01904894970357418,0.014909866265952587,-0.018121719360351562
30,0.04562522084326357,-253.38625199601458,0.018850985914468765,0.01478605717420578,0.0029296278953552246
