epoch,D_loss,G_loss,W_rmse,W_mae,W_r2,global_step
1,9.669828366425078,-10.439922181042759,0.1811334490776062,0.18082743883132935,-291.222900390625,59
2,8.122699252629685,-15.51922980221835,0.18081870675086975,0.18051669001579285,-290.2082214355469,118
3,6.780592174853309,-15.462229815396396,0.18057940900325775,0.18027663230895996,-289.4379577636719,177
4,6.389152785479012,-21.414359872991387,0.180344820022583,0.18004390597343445,-288.683837890625,236
5,5.866978313963292,-24.809561122547496,0.1800140142440796,0.17971375584602356,-287.6220703125,295
6,5.464067063089145,-29.094704367897727,0.1796846240758896,0.17938487231731415,-286.5667724609375,354
7,5.064458499520512,-33.211017782037906,0.17934201657772064,0.17904460430145264,-285.4712219238281,413
8,5.083624290207685,-40.71905673633922,0.17898008227348328,0.17868435382843018,-284.3161315917969,472
9,4.65280328362675,-43.00296263261275,0.1785927414894104,0.17829157412052155,-283.0825500488281,531
10,4.267468395879713,-43.80368354103782,0.1782635897397995,0.17795568704605103,-282.0363464355469,590
11,4.232101804119045,-50.46471439708363,0.1778755784034729,0.17756251990795135,-280.8055725097656,649
12,4.296001426244186,-56.19655297019265,0.1775760054588318,0.17725880444049835,-279.8571472167969,708
13,3.608978206828489,-58.30712959983132,0.17728060483932495,0.17695613205432892,-278.9234924316406,767
14,3.4595275248511363,-65.39860604026101,0.17696580290794373,0.1766362488269806,-277.9302673339844,826
15,3.330156819295075,-71.1484673239968,0.1766454428434372,0.17630475759506226,-276.9212646484375,885
16,2.730170064053293,-75.93221699107777,0.17633412778377533,0.17598547041416168,-275.9425048828125,944
17,2.511096574492374,-84.24507487903942,0.176007941365242,0.17565226554870605,-274.91888427734375,1003
18,2.2467400906449657,-83.13872042569247,0.17570741474628448,0.17534178495407104,-273.9774475097656,1062
19,1.596074710458012,-90.70751606334339,0.17545340955257416,0.17507821321487427,-273.18304443359375,1121
20,1.6093035310001698,-95.09809598055753,0.17519782483577728,0.17481255531311035,-272.3847961425781,1180
21,1.0465644012063235,-96.27245677601208,0.17496632039546967,0.1745692491531372,-271.66278076171875,1239
22,0.4342476957935398,-106.20846488259055,0.17474861443042755,0.1743403524160385,-270.98468017578125,1298
23,-0.0056377588692357984,-103.69117320667614,0.1745421290397644,0.17412540316581726,-270.3422546386719,1357
24,-0.3874665034019341,-112.25270427357067,0.17433302104473114,0.17390716075897217,-269.6924743652344,1416
25,-0.8937921443227994,-115.57830602472478,0.17413534224033356,0.17370113730430603,-269.0789489746094,1475
26,-1.3473278142638125,-121.65874342484908,0.17396286129951477,0.17351850867271423,-268.544189453125,1534
27,-1.7804077116109558,-126.05533807927912,0.1737760305404663,0.17332173883914948,-267.965576171875,1593
28,-1.857366666955463,-130.3152285489169,0.17360883951187134,0.17314667999744415,-267.4482727050781,1652
29,-2.7059465666948737,-140.04168978604403,0.17345914244651794,0.1729891300201416,-266.98553466796875,1711
30,-3.450782210139905,-141.9134382768111,0.17332911491394043,0.17284902930259705,-266.5838623046875,1770
31,-3.766250416383905,-144.8091472278942,0.17321047186851501,0.17272350192070007,-266.21771240234375,1829
32,-3.954631651862193,-149.07987837357953,0.17309510707855225,0.17260165512561798,-265.86187744140625,1888
33,-4.708403288307837,-151.23449152166194,0.17299599945545197,0.1724967509508133,-265.5563659667969,1947
34,-5.187114376132771,-156.2709406072443,0.172908753156662,0.1724041849374771,-265.2875671386719,2006
35,-5.714224847696595,-156.33838306773794,0.17282672226428986,0.1723175048828125,-265.03497314453125,2065
36,-5.642481205827099,-157.44618918678978,0.17275822162628174,0.17224439978599548,-264.8241271972656,2124
37,-6.788629507614394,-161.03360817649147,0.1727014183998108,0.17218360304832458,-264.64935302734375,2183
38,-6.962012872857563,-161.98967257412997,0.17264936864376068,0.17212778329849243,-264.4892578125,2242
39,-7.424373271101612,-166.00926902077416,0.17260843515396118,0.1720842570066452,-264.36334228515625,2301
40,-8.026691557997363,-164.15424971147016,0.17257584631443024,0.17204982042312622,-264.26318359375,2360
41,-7.889781216443596,-165.23295177112925,0.17254742980003357,0.17201939225196838,-264.17578125,2419
42,-8.36114882614653,-167.976205999201,0.17252342402935028,0.17199356853961945,-264.1020202636719,2478
43,-8.469544168245994,-173.80266085537997,0.17250479757785797,0.17197394371032715,-264.0448303222656,2537
44,-8.938911842087569,-166.23142311789772,0.17249087989330292,0.17195916175842285,-264.00201416015625,2596
45,-8.694128505254197,-168.47009416060015,0.17248205840587616,0.17194969952106476,-263.97491455078125,2655
46,-8.441252352827686,-169.96056851473722,0.1724763959646225,0.1719435453414917,-263.9575500488281,2714
47,-8.89994184849626,-165.40771623091265,0.17247261106967926,0.17193938791751862,-263.9458923339844,2773
48,-9.19584233073865,-166.40567848899147,0.17247052490711212,0.17193712294101715,-263.9394836425781,2832
49,-9.244258791713392,-170.38115345348012,0.17246964573860168,0.17193618416786194,-263.936767578125,2891
50,-9.682310597371247,-168.08898093483666,0.17246946692466736,0.17193599045276642,-263.93621826171875,2950
