epoch,D_loss,G_loss,W_rmse,W_mae,W_r2
1,6.970981307146026,-27.443870090210662,0.16271823644638062,0.1617000252008438,-73.28995513916016
2,4.276699901596317,-47.30652675783731,0.16051416099071503,0.15948928892612457,-71.291015625
3,3.047232512859148,-59.728679698334155,0.15777701139450073,0.15667802095413208,-68.84657287597656
4,2.5936067882915177,-61.342457448240864,0.15583652257919312,0.15460792183876038,-67.1390609741211
5,2.2561989835284266,-59.769288143168296,0.15334740281105042,0.15199768543243408,-64.97972106933594
6,0.4721860266959441,-67.81104850252146,0.14268215000629425,0.14104612171649933,-56.12114715576172
7,-5.5567669060818226,-171.47827675672082,0.09755627065896988,0.09366157650947571,-25.7034912109375
8,-7.8812649957532805,-313.3028155898014,0.05727537348866463,0.04915974661707878,-8.204358100891113
9,-3.0252050902785323,-387.44064058133256,0.036465246230363846,0.02935832552611828,-2.73091983795166
10,-0.18848469368810575,-284.7225152405943,0.027878155931830406,0.022194476798176765,-1.1806488037109375
11,-0.0729983404561433,-244.58852462975312,0.022781316190958023,0.018345795571804047,-0.4561806917190552
12,0.08359142285860005,-245.74919446826306,0.020896853879094124,0.016710152849555016,-0.22523534297943115
13,0.09960647745103371,-273.82565431672384,0.019381698220968246,0.015362105332314968,-0.054001688957214355
14,0.08607091498245714,-329.7805176608285,0.01748092658817768,0.0139995776116848,0.14259397983551025
15,0.1437323153584307,-309.86728434575605,0.016531717032194138,0.01333566103130579,0.23317968845367432
16,0.2023050286945935,-221.35438616165948,0.01627994328737259,0.013138084672391415,0.256358802318573
17,0.18822874352941668,-234.93037943852949,0.015935637056827545,0.012829279527068138,0.2874809503555298
18,0.16621780754912513,-233.9697424002133,0.015704581514000893,0.012554245069622993,0.3079930543899536
19,0.15460574275594416,-237.4211629231771,0.015613004565238953,0.012403872795403004,0.31604015827178955
20,0.13866736206824218,-222.25623666820164,0.015452669002115726,0.012219038791954517,0.33001571893692017
21,0.13226049885073005,-258.49788262592097,0.015473238192498684,0.012156798504292965,0.3282307982444763
22,0.149534614600221,-174.4975373389598,0.015840677544474602,0.01243857853114605,0.29594719409942627
23,0.11188829040058906,-187.05890558341008,0.015707066282629967,0.012337547726929188,0.3077741265296936
24,0.08857576504632386,-272.1129409252467,0.01541941799223423,0.012069021351635456,0.3328958749771118
25,0.07937233489218766,-242.0939654838748,0.015655340626835823,0.012232303619384766,0.31232595443725586
26,0.07102005189249347,-217.74874290735096,0.015846682712435722,0.012375029735267162,0.29541343450546265
27,0.0954437248085734,-217.80277673984932,0.0161368977278471,0.012553751468658447,0.26936954259872437
28,0.10590134189037612,-126.11122296754584,0.016109177842736244,0.012549729086458683,0.27187758684158325
29,0.09121419866960546,-126.41140277728155,0.016024213284254074,0.012474133633077145,0.27953797578811646
30,0.03671945704949823,-132.98458953278498,0.015822269022464752,0.012315042316913605,0.2975826859474182
