epoch,D_loss,G_loss,W_rmse,W_mae,W_r2,global_step
1,7.775840371280569,-17.03567063349944,0.18033380806446075,0.18002687394618988,-288.6484680175781,263
2,5.962974142212378,-30.9991344671983,0.17939357459545135,0.17908301949501038,-285.63592529296875,526
3,5.7069982702741155,-35.551095705765945,0.1786024421453476,0.17828984558582306,-283.1133728027344,789
4,5.4459514835488205,-36.71016766474797,0.1778016984462738,0.17747631669044495,-280.5715026855469,1052
5,5.204549626252497,-38.14060467940111,0.17712116241455078,0.1767662614583969,-278.4201965332031,1315
6,5.3396416961466855,-39.93802224672758,0.17650189995765686,0.17613667249679565,-276.46978759765625,1578
7,4.92048800762162,-38.92617321014404,0.1758522093296051,0.1754591017961502,-274.4308776855469,1841
8,4.722901070525891,-42.47329242412861,0.17521676421165466,0.17480114102363586,-272.44390869140625,2104
9,4.492777192547294,-42.23232430678148,0.17456690967082977,0.17411673069000244,-270.4193420410156,2367
10,4.413649259864604,-40.50450119605431,0.17394351959228516,0.17345471680164337,-268.4842834472656,2630
11,4.15362802476484,-40.561025619506836,0.17333759367465973,0.17281903326511383,-266.61004638671875,2893
12,3.539398085481767,-42.20817536574144,0.1724211722612381,0.17186908423900604,-263.7878723144531,3156
13,1.2606415349721003,-45.351840239304764,0.1689675897359848,0.16835545003414154,-253.2867431640625,3419
14,-1.0399711972860328,-62.832813042860764,0.16122373938560486,0.16049686074256897,-230.51272583007812,3682
15,-3.005809014514372,-90.39949505145734,0.1502431333065033,0.14936016499996185,-200.0509796142578,3945
16,-5.13463741676889,-122.11963301438551,0.1374369114637375,0.1363384872674942,-167.2378692626953,4208
17,-7.290351702913132,-153.68683184110202,0.1243777722120285,0.12310224026441574,-136.78515625,4471
18,-8.594938097344604,-187.33609302227313,0.11227834224700928,0.11081070452928543,-111.28167724609375,4734
19,-10.220265498179447,-220.08697392390326,0.1009216457605362,0.09924010932445526,-89.71634674072266,4997
20,-10.782395815441363,-246.2619400024414,0.09068212658166885,0.08874928206205368,-72.24201965332031,5260
21,-10.717547593007977,-265.6846639193021,0.08185188472270966,0.07966320216655731,-58.672508239746094,5523
22,-10.994284346303106,-293.1710868248573,0.07369477301836014,0.07124869525432587,-47.371578216552734,5786
23,-10.59851378497062,-320.1712130033053,0.06637480854988098,0.06367349624633789,-38.239501953125,6049
24,-9.779067454002655,-340.60559111375073,0.059877436608076096,0.05688288435339928,-30.933265686035156,6312
25,-9.542399184558782,-343.45107181255634,0.054221998900175095,0.050987180322408676,-25.185928344726562,6575
26,-8.733250466816326,-361.10443232609674,0.04931766167283058,0.0457899235188961,-20.663162231445312,6838
27,-7.032299974118802,-353.4169129591722,0.0454118438065052,0.04163277894258499,-17.36771583557129,7101
28,-7.6980969960245345,-384.1557479271522,0.04176317900419235,0.037822261452674866,-14.53473949432373,7364
29,-6.919004448466428,-386.8603773850661,0.03864674270153046,0.03456385061144829,-12.302790641784668,7627
30,-6.7734714442786155,-395.23976428692157,0.035879477858543396,0.03169010579586029,-10.465927124023438,7890
31,-6.404225863431343,-401.0900626549354,0.03346555680036545,0.029228433966636658,-8.97500228881836,8153
32,-6.2784096684745965,-400.6426130441519,0.03140999749302864,0.027217719703912735,-7.787243843078613,8416
33,-5.995363447149444,-372.1803339444674,0.029827812686562538,0.025654686614871025,-6.92427921295166,8679
34,-6.2452172924810485,-414.231079688439,0.028334850445389748,0.02418145351111889,-6.1508684158325195,8942
35,-6.571150721705911,-395.7078528771034,0.027144338935613632,0.023003146052360535,-5.56259298324585,9205
36,-6.672004272049371,-409.29911628136267,0.026174521073698997,0.022071434184908867,-5.1020307540893555,9468
37,-7.06680482920585,-419.44277513944184,0.02535032294690609,0.02127223275601864,-4.723793029785156,9731
38,-7.918119600063948,-416.6837844848633,0.024671053513884544,0.020607130602002144,-4.421161651611328,9994
39,-6.3297248419246745,-370.524908212515,0.02416386269032955,0.020121391862630844,-4.200554847717285,10257
40,-7.731297123114873,-401.1945806650015,0.02371492236852646,0.019687270745635033,-4.0091071128845215,10520
41,-8.470636472502589,-398.9815990741436,0.023403644561767578,0.01938490755856037,-3.8784728050231934,10783
42,-8.375682632279487,-414.15323228102466,0.02313733659684658,0.019120197743177414,-3.768080711364746,11046
43,-8.83419229866434,-393.10928227351263,0.022958625108003616,0.018947744742035866,-3.694708824157715,11309
44,-9.14870992858147,-427.237303513747,0.022803863510489464,0.01879757083952427,-3.631629467010498,11572
45,-9.365972018513842,-393.3946145864633,0.022706307470798492,0.01870034821331501,-3.592085361480713,11835
46,-9.585271891079021,-417.9565963745117,0.022630710154771805,0.018627716228365898,-3.561558723449707,12098
47,-9.704583505713895,-410.93494708721454,0.022586684674024582,0.018584316596388817,-3.5438284873962402,12361
48,-9.852638388767895,-415.5545912522536,0.022562285885214806,0.018560141324996948,-3.5340166091918945,12624
49,-9.958577008301768,-414.8780265221229,0.022551169618964195,0.0185491144657135,-3.5295495986938477,12887
50,-10.036275896282703,-413.4595419076773,0.02254851721227169,0.01854647509753704,-3.52848482131958,13150
