epoch,D_loss,G_loss,W_rmse,W_mae,W_r2,global_step
1,7.590242654198476,-17.297688172413753,0.17813740670681,0.17711082100868225,-86.31238555908203,263
2,5.910614410733995,-24.95863151550293,0.17732961475849152,0.17630289494991302,-85.52233123779297,526
3,5.657731620077851,-27.792859334212082,0.17662574350833893,0.17556500434875488,-84.83683013916016,789
4,5.414071507327003,-30.781890612382156,0.17605194449424744,0.17498180270195007,-84.28002166748047,1052
5,5.159626034276114,-31.74610684468196,0.1754395216703415,0.17437362670898438,-83.68773651123047,1315
6,5.180136488417709,-35.505915238307075,0.17496220767498016,0.17388507723808289,-83.2275390625,1578
7,4.746768907902359,-36.50875630745521,0.17431126534938812,0.17321835458278656,-82.60198211669922,1841
8,4.656878966342361,-38.385074615478516,0.17337606847286224,0.17226281762123108,-81.70731353759766,2104
9,4.228501697910149,-37.49924465326163,0.17226053774356842,0.1711215376853943,-80.64643859863281,2367
10,1.453291089362518,-42.51341790419359,0.16757534444332123,0.16634351015090942,-76.26554107666016,2630
11,-1.472969114780426,-66.77687424879808,0.1547505259513855,0.15333035588264465,-64.8915786743164,2893
12,-3.8050450444674766,-99.90738795353816,0.1383534073829651,0.136653333902359,-51.667823791503906,3156
13,-5.715975976942157,-134.3610573548537,0.12169129401445389,0.11968058347702026,-39.7459716796875,3419
14,-7.219740641661017,-178.34389451833871,0.10539983212947845,0.10297983884811401,-29.566482543945312,3682
15,-7.723842589800802,-227.07368029080905,0.08983737230300903,0.08700485527515411,-21.206478118896484,3945
16,-6.019734116561512,-209.18687057495117,0.07876425236463547,0.07551682740449905,-16.069622039794922,4208
17,-3.7493392997368207,-151.79321083655725,0.07194998860359192,0.06845881789922714,-13.243842124938965,4471
18,-5.350747020752258,-280.7467413682204,0.059526536613702774,0.05543888360261917,-8.749601364135742,4734
19,-3.670660101868807,-284.21155724158655,0.04866492748260498,0.04416212439537048,-5.5162506103515625,4997
20,-3.5915840349723176,-295.86642954899713,0.04005357623100281,0.03531206399202347,-3.4141616821289062,5260
21,-0.8179808272608333,-157.75282390301044,0.03687560185790062,0.03212368115782738,-2.7414841651916504,5523
22,-1.2493974703573003,-176.9024857741136,0.03353693336248398,0.028789544478058815,-2.0946555137634277,5786
23,-1.3808240031561472,-193.25118783804086,0.03019155003130436,0.025593796744942665,-1.5080516338348389,6049
24,-1.462259671533969,-193.98980008638821,0.027437083423137665,0.023038635030388832,-1.0712931156158447,6312
25,-1.9641968849267344,-205.40955470158502,0.025244520977139473,0.021015381440520287,-0.7534761428833008,6575
26,-2.028374269887975,-226.83358471210187,0.023719757795333862,0.019624315202236176,-0.5480539798736572,6838
27,-0.8723913388107213,-278.85055365929236,0.022513974457979202,0.01847247965633869,-0.3946652412414551,7101
28,-2.0436904729545797,-233.33678230872522,0.022417427971959114,0.018332013860344887,-0.38272929191589355,7364
29,-4.633670004828348,-257.3950209984413,0.02385903336107731,0.019528958946466446,-0.5662868022918701,7627
30,-5.723762091575013,-280.570200406588,0.02614341676235199,0.0215489212423563,-0.8805736303329468,7890
31,-6.2850453946526965,-292.2111678490272,0.028984518721699715,0.02400488220155239,-1.3115208148956299,8153
32,-7.242813130521956,-312.8545696551983,0.03206091374158859,0.026575859636068344,-1.8282475471496582,8416
33,-7.395828357214257,-339.1258943997897,0.034959226846694946,0.02899092622101307,-2.362708806991577,8679
34,-8.289070469344976,-355.1262424175556,0.03768794238567352,0.03117201291024685,-2.9081437587738037,8942
35,-6.415039101480985,-413.8036839411809,0.03994237259030342,0.03293424844741821,-3.3896851539611816,9205
