epoch,D_loss,G_loss,W_rmse,W_mae,W_r2,global_step
1,7.435830855951076,-8.93655207098984,0.18074753880500793,0.18044428527355194,-289.9790344238281,205
2,6.258034385122904,-12.391689323797458,0.180019348859787,0.17971816658973694,-287.63916015625,410
3,5.727367480208234,-15.736181747622606,0.17930841445922852,0.1790073961019516,-285.3638610839844,615
4,5.656346828181569,-20.152208653891957,0.17869247496128082,0.17839296162128448,-283.39990234375,820
5,5.427180764733292,-23.182148398422612,0.17816118896007538,0.1778540313243866,-281.71124267578125,1025
6,5.461210627672149,-22.418982296455198,0.177660271525383,0.1773541122674942,-280.123779296875,1230
7,5.346640700828738,-27.086343393093202,0.17701785266399384,0.17670226097106934,-278.0943603515625,1435
8,5.14106246203911,-30.40885548475312,0.17642603814601898,0.17609944939613342,-276.2313232421875,1640
9,5.010198949022991,-36.38524646293826,0.1759527176618576,0.17561566829681396,-274.74578857421875,1845
10,4.90199101378278,-36.67956691834985,0.17532426118850708,0.17498639225959778,-272.7795104980469,2050
11,4.564671543167859,-39.34276194688751,0.1748781055212021,0.1745276153087616,-271.38787841796875,2255
12,4.099746722709842,-41.593805173548255,0.17446433007717133,0.17410551011562347,-270.10040283203125,2460
13,3.0890467015708367,-43.57233159135028,0.1738717257976532,0.17350046336650848,-268.2618713378906,2665
14,1.4030586870705208,-43.43694156553687,0.17292600870132446,0.17252665758132935,-265.3406982421875,2870
15,0.4577501122544451,-48.05788663538491,0.17153269052505493,0.17110931873321533,-261.0660400390625,3075
16,-0.39697121701589444,-53.25249453288753,0.16899527609348297,0.1685323566198349,-253.37010192871094,3280
17,-1.2723926267972807,-65.41815455366925,0.16487735509872437,0.16435179114341736,-241.12460327148438,3485
18,-2.5536630054799523,-79.10611259646532,0.15874435007572174,0.15812230110168457,-223.4468536376953,3690
19,-4.125438254344754,-97.77730560302734,0.15131929516792297,0.1505841612815857,-202.9414825439453,3895
20,-5.714585062061868,-120.51295471191406,0.14309397339820862,0.142249196767807,-181.37261962890625,4100
21,-7.272972953901058,-142.92871317049352,0.13486294448375702,0.1339157372713089,-160.99522399902344,4305
22,-9.14246801050698,-167.08790718636862,0.12683634459972382,0.125792995095253,-142.2862091064453,4510
23,-10.651291361959968,-192.24258534501237,0.11957105994224548,0.11844250559806824,-126.34123229980469,4715
24,-12.0385919015582,-209.66499514696073,0.11292862147092819,0.11171138286590576,-112.58604431152344,4920
25,-13.470266773933318,-245.09569270436356,0.10670887678861618,0.1054074615240097,-100.41868591308594,5125
26,-14.909120708267864,-269.91869112340413,0.10103511810302734,0.09962105005979538,-89.92047119140625,5330
27,-15.470072029276592,-290.343176120665,0.09596250206232071,0.09445145726203918,-81.0200424194336,5535
28,-17.44521778211361,-302.0385113227658,0.09150027483701706,0.08988039940595627,-73.569580078125,5740
29,-17.46415725248616,-322.1710551192121,0.08750001341104507,0.0857759565114975,-67.19196319580078,5945
30,-18.629528138986448,-343.30890674125857,0.08392268419265747,0.08212071657180786,-61.73005294799805,6150
31,-19.05688660610013,-355.90311636575836,0.08077244460582733,0.07887135446071625,-57.10899353027344,6355
32,-19.866329335584872,-366.67260072289446,0.07792170345783234,0.07592425495386124,-53.079647064208984,6560
33,-20.07133876114357,-381.0427722465701,0.0754486471414566,0.07335793972015381,-49.70138168334961,6765
34,-20.621933024685557,-390.2046858624714,0.07330217957496643,0.07113676518201828,-46.85757827758789,6970
35,-21.111592170378056,-399.890046654678,0.07147593051195145,0.0692470595240593,-44.50263214111328,7175
36,-21.712380735176364,-408.5164936344798,0.06990355998277664,0.06761322170495987,-42.522666931152344,7380
37,-22.272502007135532,-413.49565533893866,0.06857328861951828,0.06623992323875427,-40.8819465637207,7585
38,-22.581435740575557,-419.67229629144435,0.06744976341724396,0.0650784820318222,-39.520774841308594,7790
39,-22.966507195844883,-424.6204350169112,0.06650453060865402,0.06410010159015656,-38.393028259277344,7995
40,-23.1098520200427,-426.76219065596416,0.06573576480150223,0.06330584734678268,-37.4875602722168,8200
41,-23.827708448433295,-428.90260724323554,0.06511814147233963,0.06266830116510391,-36.76773452758789,8405
42,-24.059126211375727,-442.4703986935499,0.06461812555789948,0.06215381249785423,-36.18994903564453,8610
43,-24.224657053482243,-436.13155458031633,0.06424225121736526,0.06176331639289856,-35.758548736572266,8815
44,-24.82671361958108,-438.33348344012006,0.0639600157737732,0.06146817281842232,-35.436279296875,9020
45,-25.01059990917764,-439.8974788014482,0.06375648081302643,0.06125704199075699,-35.20475387573242,9225
46,-25.253314430539202,-446.21677528939597,0.06361959129571915,0.061114244163036346,-35.0494499206543,9430
47,-25.542997977210256,-436.6484821598704,0.06353140622377396,0.06102290004491806,-34.9495849609375,9635
48,-25.638243963660262,-433.17536889052974,0.06348346173763275,0.06097313016653061,-34.895347595214844,9840
49,-25.719629768045937,-439.4011907810118,0.06346295773983002,0.060951728373765945,-34.872161865234375,10045
50,-25.688447172467303,-436.4632836318598,0.06345793604850769,0.060946475714445114,-34.866485595703125,10250
