epoch,D_loss,G_loss,W_rmse,W_mae,W_r2,global_step
1,7.575301163096845,-12.639488229384789,0.18006539344787598,0.17960384488105774,-195.01571655273438,263
2,6.314399048402736,-19.842569828033447,0.1790267527103424,0.1785707026720047,-192.7609405517578,526
3,5.749029146854415,-24.898193726172813,0.17841777205467224,0.17796313762664795,-191.4449920654297,789
4,5.571233042292722,-25.605803599724403,0.1779753714799881,0.17751304805278778,-190.4918212890625,1052
5,5.418926498282545,-29.98618797155527,0.1773771494626999,0.1769002377986908,-189.20668029785156,1315
6,5.512855326721423,-30.290611267089844,0.17646442353725433,0.1759745329618454,-187.25424194335938,1578
7,4.982351734611018,-33.63046172948984,0.1756894439458847,0.17518925666809082,-185.6043243408203,1841
8,4.856158017205648,-36.320083141326904,0.17500007152557373,0.17446187138557434,-184.14280700683594,2104
9,4.569968637858054,-36.44407276006845,0.1742534190416336,0.1736791431903839,-182.56634521484375,2367
10,4.298866555717962,-33.14536923628587,0.17353980243206024,0.17291592061519623,-181.06588745117188,2630
11,2.3257411663976457,-34.52821551836454,0.171131893992424,0.17042440176010132,-176.04852294921875,2893
12,-1.125994864752084,-52.897631058326134,0.16057565808296204,0.15969914197921753,-154.87979125976562,3156
13,-3.5338273014405837,-83.19423051980826,0.14483986794948578,0.14372745156288147,-125.82553100585938,3419
14,-6.370229598007275,-122.03010661785419,0.12677285075187683,0.12539087235927582,-96.15897369384766,3682
15,-8.954998176360764,-175.93695948674127,0.10909482836723328,0.1073203757405281,-70.9513168334961,3945
16,-9.990545024210055,-217.20197061391977,0.09258884191513062,0.0903630256652832,-50.82600402832031,4208
17,-9.553312081347853,-244.65261928851788,0.0786556601524353,0.07597698271274567,-36.401615142822266,4471
18,-7.899637568586226,-287.51891767061676,0.0659392774105072,0.06282521784305573,-25.28565216064453,4734
19,-7.067995941004372,-297.2174342228816,0.05414646118879318,0.05045447126030922,-16.724361419677734,4997
20,-4.616045523505701,-303.0113551800068,0.04421050474047661,0.03985857218503952,-10.816296577453613,5260
21,-2.9309027967797485,-321.964718745305,0.03621083125472069,0.031676001846790314,-6.926973342895508,5523
22,-2.078587570571174,-349.9490793668307,0.029144881293177605,0.024708101525902748,-4.135171890258789,5786
23,1.1680056858425358,-166.84707524226263,0.026850145310163498,0.022534774616360664,-3.358365535736084,6049
24,1.6996198033651926,-292.5215013944186,0.02339625172317028,0.019310329109430313,-2.309199333190918,6312
25,-0.1450122377265089,-273.6833501962515,0.02104201354086399,0.017256498336791992,-1.6767327785491943,6575
26,-0.9644637973589589,-253.24240963275616,0.01993483491241932,0.016369471326470375,-1.4024572372436523,6838
27,-3.474541173914993,-252.93263420691858,0.019458983093500137,0.01590224727988243,-1.2891314029693604,7101
28,-5.327462530861336,-343.75674350445087,0.01923203282058239,0.015593190677464008,-1.236046314239502,7364
29,-8.1162335514569,-289.2983703613281,0.01968352496623993,0.01598377898335457,-1.3422658443450928,7627
30,-9.598645445058555,-359.4388530437763,0.020834652706980705,0.016954602673649788,-1.6242363452911377,7890
31,-9.645999095739068,-413.0335666949932,0.022784700617194176,0.01860145665705204,-2.138463020324707,8153
32,-12.153682624432523,-407.97334817739636,0.02518453262746334,0.02071502059698105,-2.834406852722168,8416
33,-12.775590927428619,-385.5725813645583,0.028009537607431412,0.02304595336318016,-3.7428812980651855,8679
34,-13.200582675607485,-421.9785429147574,0.03069235570728779,0.02543274685740471,-4.694962501525879,8942
35,-14.37032641657405,-511.19676091120795,0.03322486951947212,0.027810050174593925,-5.673551082611084,9205
36,-14.592703745392338,-510.23309913048377,0.03567255288362503,0.03016749769449234,-6.69305419921875,9468
37,-15.148263759032854,-627.7847219613882,0.03723353147506714,0.03168676793575287,-7.381058692932129,9731
38,-14.394236968950628,-577.7723277165339,0.03924945369362831,0.03348836302757263,-8.313172340393066,9994
39,-15.618954967636572,-659.9421157836914,0.04097552224993706,0.03500736877322197,-9.150311470031738,10257
40,-16.499641553530676,-653.9716802743765,0.04283424839377403,0.03662282973527908,-10.092072486877441,10520
41,-16.68366531999392,-730.3924560546875,0.04437921196222305,0.037843432277441025,-10.906649589538574,10783
42,-16.868108053171134,-615.8363923292893,0.04619917273521423,0.039366502314805984,-11.903241157531738,11046
43,-16.997262563089002,-768.6268715491661,0.04771413281559944,0.04064517095685005,-12.763360977172852,11309
44,-18.011680986491445,-847.5653240497296,0.048498380929231644,0.041039880365133286,-13.219518661499023,11572
45,-19.68606700824694,-806.2203451303335,0.04927939549088478,0.041522037237882614,-13.681185722351074,11835
46,-18.701930598161066,-848.3362896259015,0.0498780757188797,0.04160795360803604,-14.040067672729492,12098
